,Pais,Confirmados,Obitos,Taxa_Letalidade
159,Papua New Guinea,"17,812",192,1.1%
160,Central African Republic,"11,251",99,0.9%
161,Togo,"18,086",165,0.9%
162,Mauritius,"6,122",22,0.4%
163,Sierra Leone,"6,342",121,1.9%
164,Côte d'Ivoire,"52,423",363,0.7%
165,Tajikistan,"16,121",123,0.8%
166,Nigeria,"183,087","2,223",1.2%
167,Chad,"4,984",174,3.5%
168,South Sudan,"11,195",120,1.1%
